文件名,文字,置信度,原因
16181d50652430f93692e0ec4814598e.jpg,0,0.4406,置信度低于阈值
16181d50652430f93692e0ec4814598e.jpg,G,0.0845,置信度低于阈值
16181d50652430f93692e0ec4814598e.jpg,品,0.4766,置信度低于阈值
16181d50652430f93692e0ec4814598e.jpg,X,0.1176,置信度低于阈值
16181d50652430f93692e0ec4814598e.jpg,O,0.4336,置信度低于阈值
16181d50652430f93692e0ec4814598e.jpg,￥,0.4396,置信度低于阈值
16181d50652430f93692e0ec4814598e.jpg,曹品山行,0.4635,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,生椰章铁经,0.7825,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,回,0.7903,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,铂金精品美式,0.7976,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,回,0.7678,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,Coti Cotfee,0.7722,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,黑,0.26,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,,0.0,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,D,0.1502,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,三:,0.6827,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,:,0.3223,置信度低于阈值
25c58120de7026416fb03536039007e5.jpg,O,0.1923,置信度低于阈值
366a3ff47aefe0078ed7bb7b8dd74d9a.jpg,工,0.4094,置信度低于阈值
fa12f9d24291c8a7efbfd99d8c6b8e4d.jpg,,0.0,置信度低于阈值
